model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
zero-100m,simple_single_gpu,1,1635200,26.35512015596032,62044.86985160615,903.25564453125,903.25564453125,4717.40625,95.615,0.0,62044.86985160615,1.0,100.0,1.0,1.0,1.0
zero-10m,simple_single_gpu,1,406400,6.925925606163219,58678.07757541522,247.29775390625,247.29775390625,616.654296875,43.98,0.0,58678.07757541522,1.0,100.0,1.0,1.0,1.0
zero-1b,simple_single_gpu,1,1635200,192.66610893583857,8487.221800615449,8119.45166015625,8119.45166015625,28165.5419921875,99.545,0.0,8487.221800615449,1.0,100.0,1.0,1.0,1.0
zero-300m,simple_single_gpu,1,3273600,175.7757921309676,18623.724918621872,2708.57673828125,2708.57673828125,28746.6103515625,99.675,0.0,18623.724918621872,1.0,100.0,1.0,1.0,1.0
zero-500m,simple_single_gpu,1,3273600,233.9102306792047,13995.112528829774,4040.64736328125,4040.64736328125,36408.9189453125,99.98,0.0,13995.112528829774,1.0,100.0,1.0,1.0,1.0
zero-100m,simple_zero_stage1,2,1635200,13.546321352012455,120711.73844972112,1059.7283081054688,2119.4566162109377,1668.47998046875,58.225,-48.60079835777604,124089.7397032123,1.9455555106881455,97.27777553440727,1.173231869096618,2.346463738193236,0.3536858799194473
zero-100m,simple_zero_stage1,4,1635200,14.156116737052798,115511.90417354787,777.765224609375,3111.0608984375,1134.93115234375,56.793749999999996,-46.28703396804157,248179.4794064246,1.861747868112542,46.54369670281355,0.8610687675392286,3.4442750701569143,0.24058372168895778
zero-100m,simple_zero_stage1,2,1635200,17.312381180934608,94452.63380642152,1106.4261010742186,2212.8522021484373,3211.63818359375,94.28999999999999,-34.31112786249491,124089.7397032123,1.5223278577636736,76.11639288818368,1.2249312891350987,2.4498625782701975,0.6808059372867771
zero-100m,simple_zero_stage1,4,1635200,13.809434102382511,118411.8036899052,802.9460766601562,3211.784306640625,1905.0615234375,80.35,-47.602461985894415,248179.4794064246,1.9084866157848808,47.71216539462202,0.8889466470778048,3.555786588311219,0.40383664719092194
zero-10m,simple_zero_stage1,2,406400,7.9230090831406415,51293.643076186534,445.6947387695312,891.3894775390625,604.0517578125,25.9925,14.396393113003425,117356.15515083044,0.8741534350756816,43.707671753784076,1.8022595503980723,3.6045191007961446,0.9795630402214571
