model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
100m,megatron_ddp,2,1635200,18.843552907928824,86777.69038512663,640.10107421875,1280.2021484375,3512.29296875,96.82499999999999,-40.44957782029438,103352.96196428144,1.6792492200681546,83.96246100340773,0.5936497118777364,1.1872994237554728,0.5300101607970074
100m,megatron_ddp,4,1635200,65.53464094176888,24951.689312724924,616.10107421875,2464.404296875,2063.4814453125,98.33000000000001,107.10614153001102,206705.92392856287,0.48284420375582804,12.071105093895701,0.5713913629092473,2.285565451636989,0.3113823768012573
10m,megatron_ddp,2,406400,5.49182808957994,74000.85970846273,139.904296875,279.80859375,309.12890625,44.135000000000005,26.295216601454907,186919.09211148354,0.7917956252893272,39.58978126446636,0.6210221606362409,1.2420443212724819,0.6135578633979555
10m,megatron_ddp,4,406400,16.186471229419112,25107.387165484404,138.341796875,553.3671875,226.2451171875,80.595,272.23923556738055,373838.1842229671,0.2686444373537797,6.716110933844492,0.6140863684721083,2.456345473888433,0.44905043785688536
1b,megatron_ddp,2,818400,104.29311824403703,7847.114112409733,6101.81689453125,12203.6337890625,18562.8974609375,99.85499999999999,-31.368067644417465,10771.252098988838,1.4570477118711924,72.85238559355962,0.5976491216105475,1.195298243221095,0.5610773386990321
1b,megatron_ddp,4,818400,548.4977304302156,1492.075453727194,6052.94189453125,24211.767578125,12329.755859375,99.99375,260.9486394298066,21542.504197977676,0.2770477266737196,6.92619316684299,0.5928620063424878,2.371448025369951,0.37267601240294407
300m,megatron_ddp,2,1636800,68.36638250388205,23941.591467225247,1975.47705078125,3950.9541015625,13132.7626953125,99.505,-41.518336922602195,28002.881714459385,1.7099376922242202,85.49688461121102,0.5942065062084373,1.1884130124168746,0.5246961009758222
300m,megatron_ddp,4,1636800,207.6437096055597,7882.7333758834675,1911.47705078125,7645.908203125,7490.1201171875,99.9775,77.62164708076864,56005.76342891877,0.5629944415194377,14.074861037985942,0.5749558566591041,2.2998234266364164,0.29925438481665434
500m,megatron_ddp,2,1636800,89.65287770703435,18257.082671107313,3022.64404296875,6045.2880859375,16949.0546875,99.87,-40.51459587180874,21720.598817852322,1.681084653716055,84.05423268580276,0.5928969418243807,1.1857938836487614,0.5306911450683482
500m,megatron_ddp,4,1636800,299.8309355042875,5459.076453358811,2942.64404296875,11770.576171875,9921.662109375,99.99625,98.9402328711505,43441.197635704644,0.5026635314374441,12.566588285936103,0.5772048012111697,2.3088192048446787,0.3106567488798459
100m,megatron_pipeline_parallel,2,1635200,64.61369064822793,25307.3301276414,651.24990234375,1302.4998046875,3325.58251953125,54.275,104.19570425446882,103352.96196428144,0.48972626708826317,24.48631335441316,0.6039894830025679,1.2079789660051359,0.5018352801440048
